"Team","kicks","handballs","disposals","marks","bounces","tackles","contestedPossessions","uncontestedPossessions","totalPossessions","inside50s","marksInside50","contestedMarks","hitouts","onePercenters","disposalEfficiency","clangers","freesAgainst","rebound50s","turnovers","intercepts","tacklesInside50","metresGained","clearances.centreClearances","clearances.stoppageClearances","clearances.totalClearances","extendedStats.effectiveKicks","extendedStats.kickEfficiency","extendedStats.kickToHandballRatio","extendedStats.effectiveDisposals","extendedStats.marksOnLead","extendedStats.interceptMarks","extendedStats.contestedPossessionRate","extendedStats.hitoutsToAdvantage","extendedStats.hitoutWinPercentage","extendedStats.hitoutToAdvantageRate","extendedStats.groundBallGets","extendedStats.f50GroundBallGets","extendedStats.scoreLaunches","extendedStats.pressureActs","extendedStats.defHalfPressureActs","extendedStats.spoils","extendedStats.ruckContests","extendedStats.contestDefOneOnOnes","extendedStats.contestDefLosses","extendedStats.contestDefLossPercentage","extendedStats.contestOffOneOnOnes","extendedStats.contestOffWins","extendedStats.contestOffWinsPercentage","Elo"
"Adelaide",219.13315945333,121.844378631325,340.977538084655,92.3201858974134,4.5853669194187,57.3621653741295,132.315550641895,203.022890642471,335.338441284366,52.1696947311752,11.9226571592941,9.69385350940956,25.3143878439983,41.9009309668016,1617.45081528979,58.8865630015744,17.7787191184361,38.4160780121985,64.6721624540227,64.7412155802288,8.54807043058433,5666.62246312974,11.8253823430719,22.6527222420012,34.4781045850731,119.324391951947,1280.5067342701,49.3623556339636,203.581497969947,5.18237782220743,10.4060760086729,840.328411510416,6.04146863677577,92.5630686959161,40.8946835147561,78.8993102094846,12.4534333102045,18.5114405377719,245.64460110862,118.18519687042,27.124547498788,60.5278797549097,11.0670808454488,2.26845057166596,131.425280558807,8.72876009611332,2.95406793042831,179.936071655249,1545.69588679887
"Essendon",219.678371562688,181.455877806724,401.134249369413,91.2712286675731,10.8195334513262,67.0261396759442,141.461840654074,250.174125548815,391.635966202889,52.3632734891021,10.0157037856034,10.3072531605168,15.0004227547349,37.4169970389738,1935.50081242141,58.4441416487758,15.9847846531201,43.3416750855349,72.1133948335666,69.0528016514008,11.6618306892767,6289.3943199236,12.8397429435974,23.9390338845665,36.7787768281639,144.707611265925,1694.81436180629,42.1785591856742,292.946688188631,9.32750428784022,15.0281607838197,929.180843491793,1.3102625621738,36.6773974923943,18.2605570369976,93.2483732846865,16.0707693780666,19.6089695094949,320.010451475294,162.979592554431,25.7014220040032,24.5006657475808,12.5151571817377,3.49820404483515,198.737316779534,7.30989419387256,1.97962658169293,148.731444038619,1440.76931454273
"Footscray",223.471058922883,154.786968810632,378.258027733515,101.301720202263,7.82881111199531,55.6817135353691,132.402795795894,237.934901253749,370.337697049643,54.309281037324,16.8230571947992,12.6621347296495,37.433968806364,45.1725039239182,1723.61687731629,52.8917078532722,17.1876037362853,40.4750490135535,64.0643897121966,63.6205301381312,12.5560971561894,6210.03491583501,15.7307384031109,25.5361944882193,41.2669328913302,153.997284461344,1579.67494533331,48.3887213223186,283.399374611234,10.8564011465228,14.7471227681015,835.345062503447,10.833525882658,144.786408459324,80.9925728670271,84.1489148315826,17.1289084848663,28.8708493854254,266.315887631965,126.555698571638,29.2256254434603,99.3538721542174,10.0208545000988,3.18380107598564,182.100639339602,13.7233798578672,3.66754692032901,169.037208852055,1546.34220244519
"Fremantle",174.673393242281,140.534228799374,315.207622041655,65.0911454152192,6.85186149947027,60.9353633321784,130.349217358283,184.172451995692,314.521669353975,48.8286979140968,9.93090894413689,9.59097306720825,41.7938794709113,38.7231274541302,1573.73754261428,52.3009643199459,20.5846227002884,32.3236330956813,60.6124137403977,59.4064250237188,10.7361399825692,5413.73140553148,12.3230410759472,27.7040260985706,40.0270671745178,107.031626482604,1338.5836279692,38.4596482918324,218.89240596702,7.27988577829082,13.2289516414542,822.36645294591,4.66950286796009,50.7780177835505,41.3310667247312,81.9281196910958,13.9584266337255,20.4722060029313,250.689461157507,129.870587241772,25.2828033534635,43.5486583619312,9.09717200785585,2.38709233659803,132.705524905475,11.2400846459916,2.58439472596949,123.341769196738,1522.792671333
"GWS",218.735957371431,138.196535698868,356.932493070299,98.8822707489598,9.80379480232407,60.222483377872,122.166032113241,224.51351400584,346.679546119081,52.3301701045029,12.7169584540762,9.38386703356097,37.0023668067027,38.5617653885047,1647.6843709025,62.6160610987986,22.8410885550586,39.8378006420458,62.8211650555278,58.844617643387,13.0555029816334,6008.49938855027,11.7255453034218,21.9583129123252,33.6838582157471,149.002654973656,1524.88190456973,51.5135223352746,262.141817110206,11.1914456181946,13.7381684739611,850.044586624093,10.9980355791054,71.3644180187519,60.2320623782767,82.0672087546761,17.8077642922803,22.1998357795602,261.584120632694,124.518868068479,28.5997881511675,98.1156663385151,14.3644306986787,3.83675574869766,223.898290118952,11.0273456013624,3.29484882270818,166.09653032893,1536.89318084694
"Gold Coast",196.640765215183,162.404630273096,359.045395488279,77.3983317080984,12.1239460728206,54.3112681331558,133.334099823334,218.583678749997,351.917778573331,57.9843054280324,12.7647423974741,9.2277457767298,50.0253177250212,48.890367307418,1674.26134327454,61.0413627264821,23.0815645743138,39.0771197343612,61.9535427816045,67.9476634524505,9.0194709670722,6420.97156153763,12.1104143949217,24.4708373603085,36.5812517552301,122.981575593187,1395.50358349782,39.3234443655525,238.789779696666,8.00992536364276,14.1839648084278,774.485435185116,0.449708123841456,24.3771084879064,11.631771300722,79.7592825250517,12.9707188786564,22.6841622374653,231.800216982144,101.542775519942,33.0822915005526,16.2614666271206,11.1228099082435,2.81583341056781,145.735767505131,9.24111166197207,2.06026057476326,116.069800177509,1538.84423062918
"Hawthorn",205.639118134282,142.669467434398,348.30858556868,90.9756696968296,8.45102441431842,54.9709336242399,124.772051233728,215.805085500016,340.577136733744,51.0737432843574,13.2647420450842,9.36295945626952,58.1232402129332,42.5844469856547,1687.7594253161,53.1244855982743,17.8074562625839,37.6273121868574,57.9380425872177,67.2857732314318,11.2818507430573,5746.65569688285,12.8465510364745,21.0042466601662,33.8507976966407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1535.07046871847
"Melbourne",185.850283481262,132.200903401387,318.051186882649,83.436067802404,11.2065782995238,52.475248337556,118.130518202923,201.097205151565,319.227723354488,51.2587942000039,12.5133469818832,10.1764056432133,41.1222920453374,37.3070869445503,1675.94916722151,54.0041750138764,18.5488824458323,29.2791208635029,54.0774510849314,54.4389538426771,8.72658874817625,5374.45380282602,10.4536178609879,20.4926402812483,30.9462581422362,112.954612172888,1335.62093967972,41.4843553834551,209.447920273333,7.17995984637321,11.1663807368632,780.87718001104,11.5201919406478,111.973311849361,67.6147706633378,68.7072455501544,12.738370411015,19.7082425984117,222.965798311022,97.5699590120817,20.7496875875842,93.3929373411309,6.34354691681218,1.70036246132818,108.827311976889,11.9387570540012,3.79934458744081,232.390591540333,1473.98646774287
"North Melbourne",233.3563179603,168.293752428099,401.650070388398,110.485473670195,8.645823903795,61.5593857353072,142.600635938131,253.731734518103,396.332370456234,53.8873606043935,14.1606170780105,12.9655522935812,38.361865961568,39.8848428820883,1936.59158557285,57.8766204617527,21.6195311545834,38.7216017795001,61.537037263683,59.644947955217,10.8842842050537,5989.48424155972,12.7499454684513,28.0813758158723,40.8313212843236,150.366303002732,1635.32878477927,47.6331381995369,276.38428573404,10.685122110337,12.5596466861744,894.658670178792,9.84280729443309,86.1175427394959,54.3522055045777,78.7438378915706,12.7211921148616,22.6897034740185,243.572314117399,118.461876828126,27.2490990936229,102.697630640894,9.19735692102353,3.26390995996738,189.959011317428,10.5105236796515,3.49857389094002,184.519219312118,1441.22268104414
"Port Adelaide",215.553570719059,133.381329204617,348.934899923676,82.7409419086469,4.95958142470974,68.4475172367463,135.425770024533,201.351786429206,336.777556453739,54.4356939032993,13.1140083054352,10.3941051543104,58.4183508064718,41.3403117786131,1620.2988170025,66.5657919733225,23.2090778023162,39.4776453008418,73.3292782762644,64.3299048574567,11.8894688758903,5995.15240666696,13.2740840403835,26.9583551515333,40.2324391919168,128.70033191753,1411.62203253206,62.2837227320729,235.797653136612,10.5797449469574,12.8411531331447,994.988071000552,15.3651930607971,94.0241056370131,51.0587374540655,87.222413845889,11.2066378164569,22.3147821465906,294.769325751941,149.155819971662,31.5789595917042,135.287209445127,11.3209549856759,3.63575612313796,219.157361767855,14.161800110219,3.62128387568223,257.602300113391,1480.0514780431
